date,global_demand_kbpd
2020-01-04,78599.2
2020-01-05,79282.3
2020-01-06,80911.9
2020-01-07,80584.3
2020-01-08,82200.8
2020-01-09,80507.59999999999
2020-01-10,81237.9
2020-01-11,78391.8
2020-01-12,78350.8
2020-01-13,81155.1
2020-01-14,79655.9
2020-01-15,82073.3
2020-01-16,80762.9
2020-01-17,79869.2
2020-01-18,78257.0
2020-01-19,79301.5
2020-01-20,81537.6
2020-01-21,81216.0
2020-01-22,80716.2
2020-01-23,81284.7
2020-01-24,80445.8
2020-01-25,78794.1
2020-01-26,78270.5
2020-01-27,81371.0
2020-01-28,81573.8
2020-01-29,80467.6
2020-01-30,80563.5
2020-01-31,81140.6
2020-02-01,77720.1
2020-02-02,76971.5
2020-02-03,80065.3
2020-02-04,80052.9
2020-02-05,81131.9
2020-02-06,81025.3
2020-02-07,79923.8
2020-02-08,78004.0
2020-02-09,78196.5
2020-02-10,80199.7
2020-02-11,79524.2
2020-02-12,80085.8
2020-02-13,78489.3
2020-02-14,80181.3
2020-02-15,77698.6
2020-02-16,78472.3
2020-02-17,79563.1
2020-02-18,79315.9
2020-02-19,79267.8
2020-02-20,80257.9
2020-02-21,79638.4
2020-02-22,77719.8
2020-02-23,78941.6
2020-02-24,79401.6
2020-02-25,80218.7
2020-02-26,80643.1
2020-02-27,79831.7
2020-02-28,81577.0
2020-02-29,78574.1
2020-03-01,76248.1
2020-03-02,78206.7
2020-03-03,77531.4
2020-03-04,79667.6
2020-03-05,79167.4
2020-03-06,77979.2
2020-03-07,76381.90000000001
2020-03-08,76856.3
2020-03-09,78306.3
2020-03-10,78877.6
2020-03-11,79387.6
2020-03-12,78625.5
2020-03-13,80248.9
2020-03-14,75331.3
2020-03-15,75734.0
2020-03-16,78217.7
2020-03-17,78420.6
2020-03-18,78850.9
2020-03-19,80299.90000000001
2020-03-20,79087.6
2020-03-21,77327.8
2020-03-22,77072.0
2020-03-23,77200.0
2020-03-24,79083.7
2020-03-25,78480.9
2020-03-26,79536.3
2020-03-27,78669.7
2020-03-28,76482.9
2020-03-29,76217.8
2020-03-30,78707.5
2020-03-31,78636.9
2020-04-01,76410.2
2020-04-02,77253.9
2020-04-03,76302.1
2020-04-04,75261.0
2020-04-05,74644.5
2020-04-06,77535.2
2020-04-07,76896.8
2020-04-08,77403.1
2020-04-09,76925.8
2020-04-10,76676.9
2020-04-11,74138.0
2020-04-12,74316.59999999999
2020-04-13,77674.8
2020-04-14,76710.6
2020-04-15,75928.2
2020-04-16,76469.7
2020-04-17,77038.7
2020-04-18,74604.0
2020-04-19,75186.7
2020-04-20,76424.40000000001
2020-04-21,76428.3
2020-04-22,77137.8
2020-04-23,77132.5
2020-04-24,76581.59999999999
2020-04-25,75012.4
2020-04-26,75126.4
2020-04-27,77293.9
2020-04-28,76893.8
2020-04-29,76747.8
2020-04-30,76129.0
2020-05-01,77234.7
2020-05-02,75293.6
2020-05-03,76115.5
2020-05-04,78390.5
2020-05-05,78945.8
2020-05-06,77391.90000000001
2020-05-07,76825.0
2020-05-08,77759.6
2020-05-09,75835.3
2020-05-10,75578.2
2020-05-11,77716.1
2020-05-12,79286.3
2020-05-13,77616.9
2020-05-14,78004.0
2020-05-15,77938.3
2020-05-16,76408.09999999999
2020-05-17,74381.09999999999
2020-05-18,76826.7
2020-05-19,78022.09999999999
2020-05-20,77569.8
2020-05-21,78088.9
2020-05-22,78068.6
2020-05-23,76630.7
2020-05-24,76482.4
2020-05-25,77886.9
2020-05-26,79112.9
2020-05-27,77004.2
2020-05-28,78236.6
2020-05-29,77973.0
2020-05-30,76034.7
2020-05-31,75803.3
2020-06-01,81244.5
2020-06-02,81931.5
2020-06-03,81021.7
2020-06-04,81558.09999999999
2020-06-05,81908.3
2020-06-06,78364.0
2020-06-07,79669.1
2020-06-08,81404.8
2020-06-09,80879.5
2020-06-10,81734.2
2020-06-11,81623.8
2020-06-12,81966.4
2020-06-13,79985.5
2020-06-14,79191.2
2020-06-15,80422.0
2020-06-16,82385.7
2020-06-17,81462.4
2020-06-18,81592.59999999999
2020-06-19,82766.1
2020-06-20,79883.0
2020-06-21,79735.5
2020-06-22,81220.6
2020-06-23,81655.9
2020-06-24,80954.7
2020-06-25,82912.9
2020-06-26,81243.0
2020-06-27,79039.9
2020-06-28,78615.5
2020-06-29,81142.6
2020-06-30,81120.5
2020-07-01,82971.4
2020-07-02,83640.7
2020-07-03,83063.0
2020-07-04,80256.6
2020-07-05,79978.4
2020-07-06,84254.4
2020-07-07,84556.4
2020-07-08,83708.7
2020-07-09,84433.6
2020-07-10,82958.9
2020-07-11,80652.7
2020-07-12,81401.3
2020-07-13,83994.2
2020-07-14,82536.3
2020-07-15,84375.3
2020-07-16,83320.5
2020-07-17,83795.3
2020-07-18,81275.2
2020-07-19,81141.0
2020-07-20,83220.6
2020-07-21,82945.90000000001
2020-07-22,83501.2
2020-07-23,83136.7
2020-07-24,84415.40000000001
2020-07-25,81510.9
2020-07-26,81811.9
2020-07-27,83884.4
2020-07-28,83588.6
2020-07-29,83224.3
2020-07-30,84624.8
2020-07-31,82920.0
2020-08-01,81216.9
2020-08-02,79623.4
2020-08-03,83608.4
2020-08-04,81888.5
2020-08-05,84792.3
2020-08-06,82711.4
2020-08-07,82328.40000000001
2020-08-08,80579.09999999999
2020-08-09,79624.3
2020-08-10,82585.2
2020-08-11,83325.1
2020-08-12,81398.9
2020-08-13,82234.9
2020-08-14,82928.0
2020-08-15,80577.0
2020-08-16,79845.4
2020-08-17,82626.8
2020-08-18,83644.6
2020-08-19,83271.3
2020-08-20,83244.4
2020-08-21,82621.0
2020-08-22,80597.6
2020-08-23,80751.4
2020-08-24,83315.1
2020-08-25,83011.8
2020-08-26,82883.2
2020-08-27,83323.9
2020-08-28,82813.0
2020-08-29,80484.2
2020-08-30,80366.7
2020-08-31,82867.2
2020-09-01,78512.0
2020-09-02,78598.1
2020-09-03,77927.7
2020-09-04,78442.3
2020-09-05,76923.5
2020-09-06,76249.0
2020-09-07,78473.8
2020-09-08,78341.3
2020-09-09,78993.0
2020-09-10,79153.9
2020-09-11,80094.0
2020-09-12,76715.4
2020-09-13,76067.7
2020-09-14,78608.2
2020-09-15,77471.5
2020-09-16,78999.2
2020-09-17,78837.9
2020-09-18,79552.1
2020-09-19,76727.5
2020-09-20,77591.0
2020-09-21,77992.2
2020-09-22,79100.5
2020-09-23,78929.09999999999
2020-09-24,78510.4
2020-09-25,78267.2
2020-09-26,76650.0
2020-09-27,76779.0
2020-09-28,79968.9
2020-09-29,78383.2
2020-09-30,78299.40000000001
2020-10-01,77103.1
2020-10-02,77053.2
2020-10-03,74523.0
2020-10-04,75814.7
2020-10-05,77695.3
2020-10-06,77711.3
2020-10-07,77335.9
2020-10-08,77122.2
2020-10-09,76854.0
2020-10-10,74852.4
2020-10-11,74653.0
2020-10-12,76165.4
2020-10-13,78055.1
2020-10-14,76727.5
2020-10-15,77599.8
2020-10-16,76490.7
2020-10-17,76059.4
2020-10-18,74748.4
2020-10-19,76978.6
2020-10-20,77087.1
2020-10-21,77420.5
2020-10-22,76796.6
2020-10-23,77295.8
2020-10-24,74378.8
2020-10-25,74160.90000000001
2020-10-26,75932.3
2020-10-27,78692.7
2020-10-28,77344.2
2020-10-29,76749.9
2020-10-30,76698.3
2020-10-31,75623.3
2020-11-01,75490.5
2020-11-02,77430.7
2020-11-03,78014.9
2020-11-04,77885.8
2020-11-05,77593.9
2020-11-06,77586.4
2020-11-07,75254.90000000001
2020-11-08,75820.7
2020-11-09,77304.2
2020-11-10,78063.0
2020-11-11,77344.3
2020-11-12,77580.5
2020-11-13,77556.8
2020-11-14,75855.2
2020-11-15,75106.0
2020-11-16,77674.8
2020-11-17,77895.3
2020-11-18,77935.9
2020-11-19,77386.8
2020-11-20,77991.4
2020-11-21,75591.6
2020-11-22,76160.9
2020-11-23,78617.2
2020-11-24,77629.3
2020-11-25,78132.9
2020-11-26,76383.5
2020-11-27,76926.5
2020-11-28,76083.3
2020-11-29,75876.0
2020-11-30,78045.0
2020-12-01,82451.6
2020-12-02,82796.7
2020-12-03,82265.5
2020-12-04,83252.4
2020-12-05,78079.1
2020-12-06,79645.6
2020-12-07,81721.0
2020-12-08,82625.2
2020-12-09,81907.3
2020-12-10,81181.2
2020-12-11,81493.0
2020-12-12,79795.3
2020-12-13,79497.8
2020-12-14,81339.4
2020-12-15,81439.5
2020-12-16,82002.2
2020-12-17,81605.5
2020-12-18,81597.7
2020-12-19,78796.2
2020-12-20,79602.40000000001
2020-12-21,81935.8
2020-12-22,82970.8
2020-12-23,82142.9
2020-12-24,80731.1
2020-12-25,82153.2
2020-12-26,80702.90000000001
2020-12-27,81117.3
2020-12-28,81281.0
2020-12-29,82271.4
2020-12-30,81641.0
2020-12-31,82281.3
2021-01-01,81222.6
2021-01-02,79945.7
2021-01-03,79263.4
2021-01-04,80913.7
2021-01-05,81349.3
2021-01-06,82063.4
2021-01-07,82440.09999999999
2021-01-08,82614.3
2021-01-09,80848.2
2021-01-10,79378.5
2021-01-11,81437.3
2021-01-12,80372.59999999999
2021-01-13,82044.09999999999
2021-01-14,83292.0
2021-01-15,81522.8
2021-01-16,80723.6
2021-01-17,80760.3
2021-01-18,82810.2
2021-01-19,81821.4
2021-01-20,81882.8
2021-01-21,81750.09999999999
2021-01-22,82969.9
2021-01-23,80227.5
2021-01-24,79712.7
2021-01-25,81103.6
2021-01-26,82512.4
2021-01-27,81413.0
2021-01-28,82578.09999999999
2021-01-29,82350.5
2021-01-30,81024.0
2021-01-31,79826.1
2021-02-01,79631.3
